,precision,recall,f1-score,support
0,0.9833333333333333,0.9833333333333333,0.9833333333333333,60.0
1,0.9502762430939227,0.9555555555555556,0.9529085872576178,720.0
2,0.92125,0.9826666666666667,0.9509677419354838,750.0
3,0.9803439803439803,0.8866666666666667,0.9311551925320887,450.0
4,0.9767801857585139,0.956060606060606,0.9663093415007658,660.0
5,0.9019908116385911,0.9349206349206349,0.9181605611847232,630.0
6,0.9838709677419355,0.8133333333333334,0.8905109489051095,150.0
7,0.9407894736842105,0.9533333333333334,0.9470198675496689,450.0
8,0.9329140461215933,0.9888888888888889,0.9600862998921251,450.0
9,0.9592668024439919,0.98125,0.9701338825952627,480.0
10,0.9771689497716894,0.9727272727272728,0.9749430523917996,660.0
11,0.9441747572815534,0.9261904761904762,0.9350961538461539,420.0
12,0.9876923076923076,0.9304347826086956,0.9582089552238806,690.0
13,0.9849108367626886,0.9972222222222222,0.9910282953761215,720.0
14,0.996309963099631,1.0,0.9981515711645101,270.0
15,0.8433734939759037,1.0,0.9150326797385622,210.0
16,0.9802631578947368,0.9933333333333333,0.9867549668874172,150.0
17,0.9944598337950139,0.9972222222222222,0.9958391123439668,360.0
18,0.9691358024691358,0.8051282051282052,0.8795518207282913,390.0
19,0.7662337662337663,0.9833333333333333,0.8613138686131387,60.0
20,0.8585858585858586,0.9444444444444444,0.8994708994708994,90.0
21,0.8426966292134831,0.8333333333333334,0.8379888268156424,90.0
22,0.9741379310344828,0.9416666666666667,0.9576271186440678,120.0
23,0.8268156424581006,0.9866666666666667,0.899696048632219,150.0
24,0.9390243902439024,0.8555555555555555,0.8953488372093023,90.0
25,0.984304932735426,0.9145833333333333,0.9481641468682505,480.0
26,0.8390243902439024,0.9555555555555556,0.8935064935064936,180.0
27,0.8333333333333334,0.5,0.625,60.0
28,0.9863013698630136,0.96,0.9729729729729729,150.0
29,0.8529411764705882,0.9666666666666667,0.90625,90.0
30,0.7956204379562044,0.7266666666666667,0.759581881533101,150.0
31,0.8888888888888888,0.9777777777777777,0.931216931216931,270.0
32,0.7692307692307693,1.0,0.8695652173913044,60.0
33,0.981042654028436,0.9857142857142858,0.983372921615202,210.0
34,0.9754098360655737,0.9916666666666667,0.9834710743801653,120.0
35,0.994750656167979,0.9717948717948718,0.9831387808041504,390.0
36,1.0,0.9916666666666667,0.99581589958159,120.0
37,0.9672131147540983,0.9833333333333333,0.9752066115702478,60.0
38,0.9926686217008798,0.981159420289855,0.9868804664723032,690.0
39,0.9764705882352941,0.9222222222222223,0.9485714285714287,90.0
40,0.8380952380952381,0.9777777777777777,0.9025641025641026,90.0
41,0.975609756097561,0.6666666666666666,0.7920792079207921,60.0
42,0.9120879120879121,0.9222222222222223,0.9171270718232044,90.0
accuracy,0.9484560570071259,0.9484560570071259,0.9484560570071259,0.9484560570071259
macro avg,0.9297393683866844,0.9302032945708375,0.926305190059637,12630.0
weighted avg,0.9506581702415248,0.9484560570071259,0.948033580066726,12630.0
